,index,mean,std,Unidade
0,Corrente do motor - Fase A,62.8891131214013,50.87171595597123,A
1,Corrente do motor - Fase B,64.17681945491643,51.76912674511189,A
2,Corrente do motor - Fase C,62.781431940169014,51.241704248675106,A
3,Frequência do AVV,35.66917766864914,28.126206508359004,Hz
4,Temperatura do motor da BCS,103.55522981969752,25.108981952136737,ºC
5,Pressão diferencial da BCS,83.99451680232693,73.41964062656535,Bar
6,Pressão na Entrada da BCS,119.97520052006638,55.67218996815489,Bar
7,Fração de água @ ,48.3124283281144,31.89724495701456,%
8,Temperatura na Entrada da BCS,81.40235585974054,7.918445400952706,ºC
9,Pressão de Descarga da BCS,211.48319017986756,43.46571068226846,Bar
10,Sensor de temperatura na descarga da BCS,5.485976038423994,20.513798157460513,ºC
11,Abertura da Válvula,23.691649431797156,20.662585240044518,%
12,Pressão na Cabeça do Poço,13.539702942809544,8.734528011382698,Bar
13,Temperatura na Cabeça do Poço,58.20365981121604,28.965299809674615,ºC
14,Poço Alinhado a A,0.4816820285026837,0.4996645242103004,bool
15,Poço Alinhado a b,0.416900775183622,0.49304656751763976,bool
16,Tensão do Motor da BCS,2676.4307511840134,2095.4606710597814,V
17,Vibração da BCS em X,0.1811898673214172,0.3515245558798346,g
18,Vibração da BCS em Y,0.15822536301575268,0.23506373753273113,g
19,Poço desativado,0.3779379981088748,0.48487218964345247,str
