,index,mean,std,Unidade
0,Corrente do motor - Fase A,62.88911312140125,50.87171595597123,A
1,Corrente do motor - Fase B,64.17681945491641,51.76912674511187,A
2,Corrente do motor - Fase C,62.781431940168986,51.2417042486751,A
3,Frequência do AVV,35.66917766864914,28.126206508359004,Hz
4,Temperatura do motor da BCS,103.55522981969749,25.108981952136748,ºC
5,Pressão diferencial da BCS,83.99451680232698,73.41964062656537,Bar
6,Pressão na Entrada da BCS,119.97520052006638,55.67218996815489,Bar
7,Fração de água @ 20degC - 1 atm,48.31242832811437,31.897244957014564,%
8,Temperatura na Entrada da BCS,81.40235585974052,7.918445400952705,ºC
9,Pressão de Descarga da BCS,211.48319017986756,43.465710682268465,Bar
10,Sensor de temperatura na descarga da BCS,5.485976038423995,20.513798157460513,ºC
11,Abertura da Válvula,23.69164943179715,20.66258524004452,%
12,Pressão na Cabeça do Poço,13.53970294280955,8.7345280113827,Bar
13,Temperatura na Cabeça do Poço,58.203659811216,28.965299809674622,ºC
14,Poço Alinhado a A,0.4816820285026837,0.49966452421030044,bool
15,Poço Alinhado a b,0.416900775183622,0.49304656751763964,bool
16,Tensão do Motor da BCS,2676.4307511840143,2095.460671059781,V
17,Vibração da BCS em X,0.1811898673214172,0.3515245558798348,g
18,Vibração da BCS em Y,0.1582253630157527,0.2350637375327312,g
19,Poço desativado,0.3779379981088748,0.4848721896434526,str
